Transporter_substrate_category	Transporter_gene	Transporter description	Reference_gene	Reference_species	Required by bifidoAnnotator clusters	
N-glycan	AfcT	Putative Fuc(a1-6)GlcNAc-peptide MFS permease	"Blon_0247, BBKW_1715, Blon_0425"	"Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088, B. catenulatum subsp. kashiwanohense JCM15439"	"GH18 - endo-β-N-acetylglucosaminidase-1 (EndoBI-1, Blon_2468); GH18 - endo-β-N-acetylglucosaminidase-2 (EndoBI-2, BLIF_1310); GH85 - endo-β-N-acetylglucosaminidase (EndoBB2, BBMN68_222); GH85 - endo-β-N-acetylglucosaminidase (EndoBB, Bbr_1142); GH125 - α-mannosidase (BlMan125-Mna125, Blon_0876, Bbr_1139); GH18 - chitinase (thermophilum-thermoacidophilum-boum); GH29 - α-L-fucosidase (BsFuc29, scardovii-pullorum); GH29 - α-L-fucosidase (BiAfcC-2, Blon_0248-Blon_426); GH38 - α-mannosidase-1 (BlMan38A-Mna38, Blon_0868-Bbr_1150); GH38 - α-mannosidase-2 (BlMan38B-Mna38**, Blon_0869-Bbr_1149); GH38 - α-mannosidase-3 (BlMan38C, Bbr_1148); GH5_18 - exo-β-mannosidase (scardovii); GH5_18 - exo-β-mannosidase (longum-reuteri); GH5_18 - exo-β-mannosidase (infantis); GH5_18 - exo-β-mannosidase (breve-longum); GH5_18 - exo-β-mannosidase (breve-longum)"	
HMO	FL1_A	2FL/3FL ABC transporter substrate-binding component	Blon_0343	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	"GH2 - β-galactosidase (Bga2A-BbgIV-lacZ6, Bbr_1552); GH2 - β-galactosidase (Bga2A-lacZ, longum-infantis-pseudocatenulatum); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, BBPR_0026); GH20 - β-N-acetylglucosaminidase (Hex3, BBSC_1775); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, BBPC_1688); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, Blon_0459-Bbr_1556); GH20 - β-N-acetylglucosaminidase (Hex2, Blon_2335); GH20 - β-N-acetylglucosaminidase-1 (Hex1, Blon_0732); GH20 - β-N-acetylhexosaminidase-2 (NahA-Hex1*, BBSC_1803); GH29 - α-L-fucosidase (BiAfcb-FumA2, BBSC_1794); GH29 - α-L-fucosidase (BiAfcB-FumA2, Blon_2336); GH42 - β-galactosidase A (Bga42A-LntA-BbgII-LacA-GosG-lacZ5, Blon_2016-Bbr_0529-BLD_0926); GH95 - intracellular α-L-fucosidase (FumA1, Blon_2335)"	
HMO	FL2_A	2FL/3FL/LDFT/LNFP I ABC transporter substrate-binding component	"Blon_2202, BLJ_0321, BBKW_1840, BPSE_1244"	"Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088, Bifidobacterium longum subsp. suis JDM301, B. catenulatum subsp. kashiwanohense JCM15439, B. pseudocatenulatum JCM1200"	"GH2 - β-galactosidase (Bga2A-BbgIV-lacZ6, Bbr_1552); GH2 - β-galactosidase (Bga2A-lacZ, longum-infantis-pseudocatenulatum); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, BBPR_0026); GH20 - β-N-acetylglucosaminidase (Hex3, BBSC_1775); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, BBPC_1688); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, Blon_0459-Bbr_1556); GH20 - β-N-acetylglucosaminidase (Hex2, Blon_2335); GH20 - β-N-acetylglucosaminidase-1 (Hex1, Blon_0732); GH20 - β-N-acetylhexosaminidase-2 (NahA-Hex1*, BBSC_1803); GH29 - α-L-fucosidase (BiAfcb-FumA2, BBSC_1794); GH29 - α-L-fucosidase (BiAfcB-FumA2, Blon_2336); GH42 - β-galactosidase A (Bga42A-LntA-BbgII-LacA-GosG-lacZ5, Blon_2016-Bbr_0529-BLD_0926); GH95 - intracellular α-L-fucosidase (FumA1, Blon_2335)"	
HMO	FL2_A2	LNFP II/LNDFH I/LNDFH II ABC transporter substrate-binding component	BBKW_1838	Bifidobacterium catenulatum subsp. kashiwanohense JCM 15439 = DSM 21854	"GH2 - β-galactosidase (Bga2A-BbgIV-lacZ6, Bbr_1552); GH2 - β-galactosidase (Bga2A-lacZ, longum-infantis-pseudocatenulatum); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, BBPR_0026); GH20 - β-N-acetylglucosaminidase (Hex3, BBSC_1775); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, BBPC_1688); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, Blon_0459-Bbr_1556); GH20 - β-N-acetylglucosaminidase (Hex2, Blon_2335); GH20 - β-N-acetylglucosaminidase-1 (Hex1, Blon_0732); GH20 - β-N-acetylhexosaminidase-2 (NahA-Hex1*, BBSC_1803); GH29 - α-L-fucosidase (BiAfcb-FumA2, BBSC_1794); GH29 - α-L-fucosidase (BiAfcB-FumA2, Blon_2336); GH42 - β-galactosidase A (Bga42A-LntA-BbgII-LacA-GosG-lacZ5, Blon_2016-Bbr_0529-BLD_0926); GH95 - intracellular α-L-fucosidase (FumA1, Blon_2335)"	
HMO	FL3_A	"Putative alpha-1,3-fucosylated glycan ABC transporter substrate-binding component"	BBSC_1797	Bifidobacterium scardovii JCM 12489 = DSM 13734	"GH2 - β-galactosidase (Bga2A-BbgIV-lacZ6, Bbr_1552); GH2 - β-galactosidase (Bga2A-lacZ, longum-infantis-pseudocatenulatum); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, BBPR_0026); GH20 - β-N-acetylglucosaminidase (Hex3, BBSC_1775); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, BBPC_1688); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, Blon_0459-Bbr_1556); GH20 - β-N-acetylglucosaminidase (Hex2, Blon_2335); GH20 - β-N-acetylglucosaminidase-1 (Hex1, Blon_0732); GH20 - β-N-acetylhexosaminidase-2 (NahA-Hex1*, BBSC_1803); GH29 - α-L-fucosidase (BiAfcb-FumA2, BBSC_1794); GH29 - α-L-fucosidase (BiAfcB-FumA2, Blon_2336); GH42 - β-galactosidase A (Bga42A-LntA-BbgII-LacA-GosG-lacZ5, Blon_2016-Bbr_0529-BLD_0926); GH95 - intracellular α-L-fucosidase (FumA1, Blon_2335)"	
Fucose (Fuc)	FucP	Fucose MFS permease	"Blon_2307, Bbr_1742, BLJ_1834"	"Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088, Bifidobacterium breve UCC2003, Bifidobacterium longum subsp. suis JDM301"	"GH29 - extracellular α-L-fucosidase (BbAfcB, BBPR_1360)"	
HMO	GltA	Lacto-N-biose/galacto-N-biose ABC transporter-1 substrate-binding component	"BLLJ_1626, BLJ_1686, Bbr_1590, BBSC_1792"	"Bifidobacterium longum subsp. longum JCM 1217, Bifidobacterium longum subsp. suis JDM301, Bifidobacterium breve UCC2003, Bifidobacterium scardovii JCM 12489 = DSM 13734"	"GH112 - GNB/LNB I phosphorylase; GH112 - GalHexNAcP; GH136 - Lacto-N-biosidase (LnbX); GH20 - extracellular lacto-N-biosidase (BBPR_1438); GH42 - β-galactosidase A (Bga42A-LntA-BbgII-LacA-GosG-lacZ5, Blon_2016-Bbr_0529-BLD_0926)"	
HMO	GltA_LNT	Type I chain HMO ABC transporter substrate-binding component	"Blon_2177, BPSE_1664, BBPR_1058"	"Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088, B. pseudocatenulatum JCM1200, B. bifidum PRL2010"	"GH2 - β-galactosidase (Bga2A-BbgIV-lacZ6, Bbr_1552); GH2 - β-galactosidase (Bga2A-lacZ, longum-infantis-pseudocatenulatum); GH42 - β-galactosidase A (Bga42A-LntA-BbgII-LacA-GosG-lacZ5, Blon_2016-Bbr_0529-BLD_0926)"	
HMO	GltB	Lacto-N-biose/galacto-N-biose ABC transporter-1 permease component 1	"BLLJ_1625, BLJ_1685, Bbr_1589, BBSC_1791"	"Bifidobacterium longum subsp. longum JCM 1217, Bifidobacterium longum subsp. suis JDM301, Bifidobacterium breve UCC2003, Bifidobacterium scardovii JCM 12489 = DSM 13734"	"GH112 - GNB/LNB I phosphorylase; GH112 - GalHexNAcP; GH136 - Lacto-N-biosidase (LnbX); GH20 - extracellular lacto-N-biosidase (BBPR_1438); GH42 - β-galactosidase A (Bga42A-LntA-BbgII-LacA-GosG-lacZ5, Blon_2016-Bbr_0529-BLD_0926)"	
HMO	GltB_LNT	Type I chain HMO ABC transporter permease component 1	"Blon_2176, BPSE_1663, BBPR_1057"	"Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088, B. pseudocatenulatum JCM1200, B. bifidum PRL2010"	"GH2 - β-galactosidase (Bga2A-BbgIV-lacZ6, Bbr_1552); GH2 - β-galactosidase (Bga2A-lacZ, longum-infantis-pseudocatenulatum); GH42 - β-galactosidase A (Bga42A-LntA-BbgII-LacA-GosG-lacZ5, Blon_2016-Bbr_0529-BLD_0926)"	
