Protein_Name	GH_family	Enzyme	Cluster_annotation	Cluster_description	Cluster_ID	Validation_status	Reference	EggNOG_Best_Hit	EggNOG_bestHit_pident	Bifidobacteria_species	GH_family-F1_threshold	GH-cluster threshold	HMG-utilization
SAMN09736479_1612_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	702459.BBPR_1055	96.7	Bifidobacterium bifidum	88.200	89.47	Yes
SAMN11944945_1564_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	95.9	Bifidobacterium longum	88.200	89.47	Yes
SAMN10316695_1818_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	95.7	Bifidobacterium longum	88.200	89.47	Yes
SAMD00047598_873_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	326426.Bbr_1587	99.7	Bifidobacterium breve	88.200	89.47	Yes
SAMN09734618_1788_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	95.9	Bifidobacterium longum	88.200	89.47	Yes
SAMEA2747184_2351_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	97.6	Bifidobacterium longum	88.200	89.47	Yes
SAMN11944633_885_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	99.3	Bifidobacterium longum	88.200	89.47	Yes
SAMN15324980_1022_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	702459.BBPR_1055	99.3	Bifidobacterium bifidum	88.200	89.47	Yes
SAMEA4076721_1609_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	326426.Bbr_1587	99.7	Bifidobacterium breve	88.200	89.47	Yes
IMG2513237171_152_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	99.1	Bifidobacterium longum	88.200	89.47	Yes
SAMN11944869_619_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	96.0	Bifidobacterium longum	88.200	89.47	Yes
SAMN11944681_1550_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	99.3	Bifidobacterium longum	88.200	89.47	Yes
SAMN11944854_933_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	96.0	Bifidobacterium longum	88.200	89.47	Yes
SAMN11944740_1097_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	98.4	Bifidobacterium longum	88.200	89.47	Yes
SAMN07958356_1476_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	100.0	Bifidobacterium longum	88.200	89.47	Yes
SAMN15532877_654_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	95.9	Bifidobacterium longum	88.200	89.47	Yes
SAMN19732116_162_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	326426.Bbr_1587	99.7	Bifidobacterium breve	88.200	89.47	Yes
